titulo_original;titulo_padronizado;id_todos_digitos;vaga_sap;cliente;tipo_contratacao;pais;estado;cidade;vaga_especifica_para_pcd;faixa_etaria;nivel_profissional;nivel_academico;nivel_ingles;nivel_espanhol;nivel;atuacao_tokenizadas;atividade_tokenizadas;competencias_tokenizadas
Consultor SAP MM;Consultor Sap Mm;;Não;Evans PLC;Hunting;Brasil;sao paulo;campinas;;De: Até:;especialista;ensino superior completo;intermediario;;;gestao alocacao recursos;sap especialista localizacao brasil;sap
SAP Functional / Consultor Ariba Senior - SLP 14150035;Sap Functional Consultor Ariba Slp;14150035;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;rio de janeiro;rio de janeiro;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;consultorariba senior com conhecimentos slp treinamentos relacionamento com cliente configuracoes testes suporte;nao necessario idioma adicional primary skill others please note skill beginning job description comments special conditions remoto das alocacao ate com possibilidade absorcao
SAP Functional / Consultor Ariba Senior - Sourcing 14141300;Sap Functional Consultor Ariba Sourcing;14141300;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;rio de janeiro;rio de janeiro;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;consultorariba senior com conhecimentos sourcing treinamentos relacionamento com cliente configuracoes testes suporte;nao necessario idioma adicional primary skill others please note skill beginning job description comments special conditions remoto das alocacao ate com possibilidade absorcao
SAP Finalcials Lead Consultant 3730;Sap Finalcials Consultant;3730;Não;Bishop-Reed;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;intermediario;LEAD;sap;mandatory technologies sap financial knowledge years experience sap projects hana experience least one implementation english fluency mandatory spanish differecial;lead team interact global project managers able lead consultants brazil bridge nearshore final global client skills good communication skills self taught skill important teamworking hybrid
880-2 Consultor SAP CO;Consultor Sap Co;8802;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;guarulhos;;De: Até:;analista;ensino superior completo;fluente;basico;;sap;sumario atividades realizacao testes unitarios destas novas funcionalidades preparacao documentacoes tecnicas funcionais seguindo metodologia projeto idioma ingles elaboracao documentacoes funcionais idioma ingles atendimento metodologia projeto suporte execucao testes unitarios para garantia correto funcionamento dos mesmos suporte desenho cenarios testes integracao regressao suporte aos usuarios finais execucao dos testes integrados regressao suporte negocio elaboracao plano cutover negocio atuar correcao defeitos decorrentes configuracoes modulo sap suportar desenvolvedores correcao defeitos decorrentes customizacoes neste mesmo modulo suporte aos usuarios periodo hypercare projeto;conhecimento tecnico experiencia projetos internacionais rollouts templates globais experiencia com processos contabeis custeio contabilidade centro lucro custo ingles fluente mandatorio
Analista de Qualidade Junior - 918;Analista De Qualidade;918;Não;Glover, Warren and Norris;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;junior;ensino superior completo;avancado;basico;JR;projetos;principais habilidades conhecimentos tecnicos educacao formacao graduacao ciencia computacao area relacionada equivalente obrigatorias minimo anos experiencia teste conhecimento completo sdlc stlc dlc fases chave teste experiencia com metodologias teste experiencia ferramentas gerenciamento teste preferencialmente azure devops ado excelentes habilidades comunicacao escrita oral familiaridade com frameworks ageis confortavel trabalhar ambiente equipe dinamico onde projetos prazos frequentemente exigem multitarefa horarios flexiveis capacidade integrar rapidamente com equipe existente;idioma ingles avancado obrigatorio modelo trabalho remoto desejaveis certificacoes garantia qualidade como istqb sao diferencial scripting automacao usando tosca atencao meticulosa aos detalhes qualidade habilidade para construir relacionamentos profissionais espirito cooperacao abordagem flexivel trabalho sao necessarios fortes habilidades analiticas resolucao problemas pensamento critico habilidades notaveis analise pesquisa apresentacao competencias comportamentais boa comunicacao raciocinio logico trabalhar colaborativamente orientado cliente foco nas entregas principais responsabilidades trabalhar com lider para compreender cenarios teste necessarios projetar casos teste para exercitar funcionalidades aplicacao realizar testes exploratorios novas funcionalidades correcoes bugs ser membro ativo equipe promovendo qualidade seguranca melhores praticas responsavel pelos testes funcionais regressao reteste varias aplicacoes auxiliar resolucao bugs documentar avaliar resultados dos testes reportando resultados lider teste utilizar aplicativos como excel para gerar metricas desenvolver recomendacoes acionaveis
Associate Operations - 14147044;Associate Operations;14147044;Não;Griffith-Webb;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;associate operations;associate operations
SAP Functional / TM_KOF - 14141714;Sap Functional Tmkof;14141714;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;sap functional kof;sap functional kof
Data&AI / Arquiteto GCP/AI - 14114756;Dataai Arquiteto Gcpai;14114756;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;data arquiteto gcp;data arquiteto gcp
Analista Financeiro – Tesouraria;Analista Financeiro Tesouraria;;Não;Morrison Ltd;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;intermediario;intermediario;;projetos;experiencia consolidada area tesouraria medias grandes empresas perfil analitico com capacidade identificar melhorias desejavel conhecimento sistema erp sap diferencial conhecimento excel avancado power formacao cursos desejados necessario superior completo ciencias contabeis administracao financas areas afins idiomas ingles intermediario necessario fluente desejavel espanhol intermediario experiencia competencias profissionais requeridas organizacao orientacao para resultados raciocinio logico trabalho equipe comprometimento;atividades serem desenvolvidas elaboracao analise gerenciamento fluxo caixa curto longo prazo previsto realizado das empresas brasil argentina mercado local externo responsavel pelas cotacoes fechamentos todas pagamentos moeda estrangeira empresa suporte fechamento operacoes cambio negociacao taxas corretagem processamento interno das operacoes processamento bancario todos pagamentos companhia experiencia com bancos locais internacionais atualizacoes cadastros bancarios fornecedores responsavel por analisar organizar aplicacoes resgates investimentos conciliacoes diarias dos extratos bancarios bancos interagir manter relacionamento com bancos controle contatos bancarios contas correntes convenios bancarios operacionalizar contratacao servicos financeiros controle operacionalizacao acessos autorizadores reports internacionais mensais matriz alemanha board companhia gestao cartoes corporativos controle fiancas garantias financeiras identificar oportunidades melhoria aumento eficiencia area
917 TEAMCENTER-PLM Tester;Teamcenterplm Tester;917;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;descricao funcoes pelo menos anos experiencia testes funcionais regressao desempenho para projetos implementacao migracao plm teamcenter enovia experiencia uso configuracao teamcenter executa testes unidade tecnica para todas compilacoes configuracao personalizacao teamcenter gerencie defeitos coordene com desenvolvedores para impulsionar resolucao defeitos revisao analise requisitos especificacoes para aplicacoes web criando executando planos teste casos teste para aplicativos web identificando documentando relatando bugs problemas sistema rastreamento bugs colaborando com desenvolvedores para verificar correcoes bugs realizacao testes manuais varios aplicativos web para garantir funcionalidade experiencia usuario participacao processos ciclo vida desenvolvimento software metodologias teste manter atualizado com tendencias atuais setor tecnicas teste capacidade planejar cronogramas estrategias teste acordo com escopo versao experiencia ciclo vida teste completo como gerenciamento conjunto testes criacao manutencao casos uso teste otimizacao testes priorizacao testes relatorios analises testes gerenciamento dados teste usando respectivas ferramentas tecnicas;necessario bom comunicacao ingles deve ser capaz rastrear incidentes solicitacoes servico solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia flexivel horario trabalho como posicao seria equipe ktlo remoto cobertura suporte recursos baseados brasil funcionarao mst
BDM (Business Development Manager) em Cyber Segurança;Bdm Business Development Manager Em Cyber Seguranca;;Não;Stone PLC;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;intermediario;basico;;projetos;requisitos obrigatorios pessoa executiva contas senior com experiencia atendimento grandes empresas variados segmentos area seguranca informacao para desenvolvimento projetos parcerias estrategicas regiao sao paulo sera responsavel por toda execucao ciclo venda garantindo mapeamento todos influenciadores compra expectativa orcamentaria gerenciando timing projeto posicionando melhor tecnologia servico para cliente final questao importante ter competencias negociacao comercial com toda cadeia distribuicao capacidade influenciar desenvolvimento negocio alinhado com objetivos metas empresa fundamental que consiga documentar todos processos oportunidades desenvolvidas ferramenta crm garantindo uma boa gestao assertividade transperencia visibilidade pipeline forecast para companhia desejavel ter experiencia trabalho editais processos aquisicao publicos alem experiencia trabalho integradores com foco servicos gerenciados operacao seguranca informacao conhecimento pacote office completo entendimento percepcao maturidade oportunidades dentro ciclo vendas excelente comunicacao oral escrita experiencia com gestao clientes parceiros compreensao das metricas indicadores gestao relacionamento com clientes planejamento estrategico contas atividades diarias orientado adaptavel processos controles internos conhecimento sistemas precificacao tributacao condicoes comerciais cadeia;requisitos desejaveis diferenciais conhecimento tecnico comercial seguranca informacao experiencia com atendimento parceiros empresas ramo seguranca informacao experiencia atendimento grandes contas dos segmentos oleo gas varejo utilities saude dentre outros experiencia conhecimento vendas seguranca nuvem ingles intermediario conhecimentos nas solucoes trend micro palo alto network fortinet rsa forcepoint afins experiencia vendas servicos gerenciados seguranca mss gestao vulnerabilidades soc considerar anos experiencia
Engenheiro de Dados Pleno - 708;Engenheiro De Dados;708;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;fluente;PL;projetos;comunicacao fluente ingles requisito obrigatorio modalidade trabalho remoto tempo estimado meses;experiencia pratica plataforma cloud azure forte experiencia sql bancos dados arquitetura dados data lake experiencia com ferramentas etl orquestracao construir gerenciar pipeline dados principalmente adf airflow manutencao banco dados construcao apis para consumo dados experiencia desenvolvimento com python scala experiencia com ambiente databricks conhecimento com pyspark
Engenheiro de Dados Sr. - 707;Engenheiro De Dados;707;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;descricao vaga comunicacao fluente ingles requisito obrigatorio modalidade trabalho remoto tempo estimado meses;requisitos experiencia pratica plataforma cloud azure forte experiencia sql bancos dados arquitetura dados data lake experiencia com ferramentas etl orquestracao construir gerenciar pipeline dados principalmente adf airflow manutencao banco dados construcao apis para consumo dados experiencia desenvolvimento com python scala experiencia com ambiente databricks conhecimento com pyspark
Comprador Sr - 706;Comprador;706;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;nao;De: Até:;senior;ensino superior completo;basico;fluente;SR;projetos;remoto portugues espanhol fluentes;requisitos comprador senior preferencialmente argentino residente brasil brasileiro com experiencia minima anos argentina
Analista Administrativo Senior;Analista Administrativo;;Não;Miller-Curry;CLT Full;Brasil;sao paulo;sao paulo;nao;De: Até:;analista;ensino superior completo;basico;;SR;administrativa;tutoia analista administrativo senior gre local tutoia horario presencial perfil facilities management principais atividades experiencias processos facilities suporte time facilites analises planejamentos solucoes aos problemas facilities assistencia time gre com controle das operacoes gerenciamento junto coordenador com servicos dos fornecedores reunioes com fornecedores controle servico controle acesso fornecedores aos sites solicitacoes epa competencias tecnicas ensino superior completo ingles nivel basico conhecimento pacote office;tutoia analista administrativo senior gre local tutoia horario presencial perfil facilities management principais atividades experiencias processos facilities suporte time facilites analises planejamentos solucoes aos problemas facilities assistencia time gre com controle das operacoes gerenciamento junto coordenador com servicos dos fornecedores reunioes com fornecedores controle servico controle acesso fornecedores aos sites solicitacoes epa competencias tecnicas ensino superior completo ingles nivel basico conhecimento pacote office
Gerente de Projetos Nível Sênior;Gerente De Projetos Nivel;;Não;Morrison Ltd;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;fluente;SR;sap;gerente projetos nivel senior com espanhol ampla experiencia especialista projetos shana espanhol imprescindivel gestao grandes projetos shana migracao implantacao implementacao;diferenciais nao obrigatorio ingles certificacoes profissional muito experimentado projetos shana imprescindivel
916 Developers - Teamcenter Developer;Developers Teamcenter Developer;916;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;lider;ensino superior completo;fluente;basico;;projetos;descricao funcoes anos experiencia desenvolvimento teamcenter com ampla experiencia customizacao manipuladores fluxo trabalho personalizacoes bmide desenvolvimento codigo aplicativo anos experiencia pratica com ambiente teamcenter plm necessario experiencia configuracao customizacao teamcenter responsavel por configurar teamcenter plm com base nas historias dos usuarios projetar desenvolver todos objetos desenvolvimento plm escopo seja personalizacoes executar correcao bugs experiencia trabalho projetos suporte teamcenter forte conhecimento programacao teamcenter itk rac soa java forte conhecimento banco dados teamcenter oracle sql modo importacao exportacao transferencia xml teamcenter plm experiencia com integracao entre plm erp sistemas legados preferencialmente proficiente customizacao clientes soa programacao itk experiencia integracao teamcenter com ferramentas aplicativos terceiros experiencia com linguagens programacao como java net linguagens script como jython tcl excelentes habilidades analiticas resolucao problemas capacidade solucionar problemas complexos;necessario bom comunicacao ingles fluente deve ser capaz rastrear incidentes solicitacoes servico solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia flexivel horario trabalho como posicao seria equipe ktlo remoto cobertura suporte recursos baseados brasil funcionarao mst
915 Engenheiro de Dados - Teamcenter Support Engineer;Engenheiro De Dados Teamcenter Support Engineer;915;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;lider;ensino superior completo;fluente;basico;;projetos;descricao funcoes experiencia teamcenter bmide business modeler integrated development environment responsavel pelo projeto construcao dos elementos dados necessarios para plm trabalhar com trilhas processo para entender requisitos analisar desenvolver modelo dados experiencia trabalho projetos suporte teamcenter colabora com equipe central dados todos topicos relacionados dados;necessario bom comunicacao ingles fluente deve ser capaz rastrear incidentes solicitacoes servico solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia flexivel horario trabalho como posicao seria equipe ktlo remoto cobertura suporte recursos baseados brasil funcionarao mst
914 Desenvolvedor Líder - PLM Teamcenter Lead;Desenvolvedor Lider Plm Teamcenter;914;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;lider;ensino superior completo;fluente;basico;LEAD;projetos;descricao funcoes lider teamcenter plm com minimo anos experiencia uma funcao implementacao plm usando siemens plm teamcenter atuacao configuracao customizacao testes certificacao para liberacao producao fornecendo deli clara definida experiencia configuracao customizacao teamcenter responsavel pela entrega compilacao para requisitos capacidade pod escopo suporte aos componentes compilacao para pod fornecer orientacao para padroes diretrizes para componentes compilacao;necessario bom comunicacao ingles fluente deve ser capaz rastrear incidentes solicitacoes servico solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia flexivel horario trabalho como posicao seria equipe ktlo remoto
SAP FI;Sap Fi;;Não;Jensen, Smith and Brennan;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino medio completo;fluente;nenhum;;sap;recurso com ingles fluente para atender projeto aproximadamente semanas regiao emea europa oriente medio africa escopo desenvolvimento recebimento pix;recurso com ingles fluente para atender projeto aproximadamente semanas regiao emea europa oriente medio africa escopo desenvolvimento recebimento pix atuacao remota
SAP BASIS - 703;Sap Basis;703;Não;Bell Group;PJ/Autônomo;Brasil;sao paulo;sao paulo;nao;De: Até:;senior;ensino superior completo;fluente;fluente;;sap;experiencia especifica projetos relevantes implementacoes sap conhecimento tecnico profundo conhecimento administracao sap basis incluindo instalacao configuracao manutencao experiencia sap netweaver sap hana sap fiori outras tecnologias sap relevantes experiencia solida administracao banco dados sap hana outros bancos dados relacionados ambiente sap habilidade otimizar desempenho sistema sap identificando resolvendo problemas desempenho experiencia ajuste parametros sistema otimizacao consultas experiencia conduzir upgrades versoes sap migracoes para ambientes mais recentes conhecimento processos transporte controle mudancas ambiente sap familiaridade com conceitos seguranca sap incluindo gestao usuarios perfis papeis experiencia implementacao manutencao politicas seguranca experiencia estrategias backup recuperacao para ambientes sap criticos habilidade integrar sistemas sap com outras solucoes familiaridade com ambientes nuvem especialmente organizacao estiver considerando utilizando solucoes nuvem para sap capacidade diagnosticar resolver problemas complexos ambiente sap experiencia liderar participar ativamente projetos sap desde planejamento ate implementacao boas habilidades comunicacao para interagir com outras equipes partes interessadas capacidade trabalhar equipe colaborar efetivamente com outros membros equipe disponibilidade atendimento emergencia disponibilidade para atender chamados emergencia fora horario comercial necessario;desejavel certificacoes sap certificacoes sap basis como sap certified technology associate system administration sap hana database sap netweaver equivalentes ingles espanhol fluentes
Analista De Tech Support - Presencial 14141384;Analista De Tech Support Presencial;14141384;Não;Wade, Bernard and Bailey;PJ/Autônomo, CLT Full;Brasil;rio de janeiro;rio de janeiro;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;atendimento campo para suporte vip convencional microinformatica para necessidades problemas tecnicos relacionados hardwares desktop notebook celular tablet impressora softwares;primary skill workplace technology remote support comments special conditions presencial localidade avenida ayrton senna barra tijuca cep rio janeiro periodo mes
SAP S4 MM Specialist – GRC/CTe / NFe;Sap S Mm Specialist Grccte Nfe;4;Não;Jensen, Smith and Brennan;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;basico;;sap;responsabilidades compreender modelo global requisitos negocios ser capaz trabalhar documentacao design funcional ingles abrangendo modulo sap experiencia analisar configurar implementar modulos sap colaborar com equipes multifuncionais partes interessadas negocio para compreender necessidades analisar requisitos especificos para apoiar tomada decisao referente novo sistema que sera implementado propor liderar acoes para melhorias processos mitigacao riscos acompanhar processos grc inbound cte segmento oportunidade para atuar grande empresa industria agronegocios com contato continuo com times internacionais multiculturais;requisitos bacharelado sistemas informacao administracao areas correlatas participacao projetos implementacao sap preferencialmente com estrutura global experiencia pratica extensiva com modulo sap nivel senior habilidades analiticas solidas capacidade resolver problemas entendendo processos negocios complexos traduzindo solucoes sap excelentes habilidades comunicacao interpessoais para colaborar efetivamente com partes interessadas varios niveis ingles avancado fluente conhecimento vivencia metodologia projetos planejamento execucao capacidade trabalhar forma independente como parte uma equipe ambiente dinamico acelerado
Analista de Suporte Junior (Louveira/SP);Analista De Suporte Louveirasp;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;sao paulo;louveira;;De: Até:;analista;ensino superior completo;basico;basico;JR;marketing projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base louveira;exigencia atual queanalista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (SJC/SP);Analista De Suporte Sjcsp;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;sao paulo;sao jose dos campos;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base sao jose dos campos;exigencia atual que analista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (São Paulo);Analista De Suporte Sao Paulo;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base vila olimpia sao paulo;exigencia atual que analista suporte com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes
Analista de Suporte Junior (Campinas);Analista De Suporte Campinas;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;sao paulo;campinas;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base campinas;exigencia atual que analista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (Criciúma);Analista De Suporte Criciuma;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;santa catarina;criciuma;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base criciuma;exigencia atual que analista suporte com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (Juiz de Fora);Analista De Suporte Juiz De Fora;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;minas gerais;juiz de fora;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles imprescindivel que analista resida base juiz fora minas gerais postura comportamental adequada para ambientes corporativos;exigencia atual que analista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (Rio de Janeiro);Analista De Suporte Rio De Janeiro;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;rio de janeiro;itatiaia;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial conversacao portugues ingles postura comportamental adequada para ambientes corporativos imprescindivel que analista resida base rio janeiro;exigencia atual que analista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe
Analista de Suporte Junior (Manaus);Analista De Suporte Manaus;;Não;Munoz-Taylor;PJ/Autônomo;Brasil;amazonas;manaus;;De: Até:;analista;ensino superior completo;basico;basico;JR;projetos;modelo contratacao presencial imprescindivel que analista resida base manaus;exigencia atual que analista suporte junior com experiencia suporte usuario corporativo desenvolvam atividades cliente acordo com escopo descrito abaixo suporte tecnico principais funcoes nao limitando reparacao configuracao desktop laptop configuracao manutencao impressora configuracao celular android suporte configuracao roteadores switches aps revisao acompanhamento gerenciamento configuracao mails capacidade resolucao incidentes trabalho equipe conversacao portugues ingles postura comportamental adequada para ambientes corporativos
912 Consultor SAP QM/PP Sênior;Consultor Sap Qmpp;912;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;parana;telemaco borba;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;conhecimento tecnico entender cenarios negocio cliente projeto indicando sap funcionalidade standard aderente processo levantamento requisitos projeto atuar nas configuracoes testes documentacoes propor solucoes customizadas quando ferramentas standard sap nao atenderem requisito negocio;realizar report andamento das atividades gestao projeto dar suporte aos key user projeto conhecer solucao industrial para modulos qualidade producao ter experiencia projetos
913 Arquiteto Especialista - HP Project and Portfolio Management (PPM);Arquiteto Especialista Hp Project And Portfolio Management Ppm;913;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;basico;;projetos;conhecimento tecnico como arquiteto especialista project portfolio management ppm equipe voce ira descricao funcoes necessario anos experiencia aplicacoes project portfolio management ppm solida compreensao dos fluxos processo ppm experiencia consultoria atuando projetos operacao bacharelado preferencialmente ciencia computacao tecnologia informacao engenharia computacao disciplina correlata experiencia equivalente preferido certificacao project portfolio management responsabilidades analiticas decisorias capacidade analitica para gerenciar varios projetos priorizar tarefas produtos trabalho gerenciaveis pode operar forma independente com supervisao minima excelentes habilidades escrita comunicacao capacidade entregar demonstracoes tecnicas;local remoto idioma ingles fluente
Consultor SAP FI/CO Senior para projetos - 704;Consultor Sap Fico Para Projetos;704;Não;Bell Group;CLT Full;Brasil;sao paulo;sao paulo;nao;De: Até:;senior;ensino superior completo;fluente;basico;SR;sap;conhecimento jira extremamente desejavel nivel profissional consultor desenvolvedor senior nivel academico minimo ensino superior graduacao completo modalidade trabalho remoto;remoto requisitos hana mandatorio ingles fluente mandatorio experiencia rollouts internacionais mandatoria experiencia rollouts localizacao nao brasil mandatorio consultor deve ter experiencia especialidade comprovada contabilidade ativo fixo desejavel parte
SAP FI/CO Sênior CGEMJP00239803;Sap Fico Cgemjp;239803;Não;Morris, Moran and Dodson;CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;consultor sap senior hana mandatorio ingles fluente mandatorio;experiencia rollouts internacionais mandatorias experiencia rollouts localizacao nao brasil mandatorio consultor deve ter experiencia especialidade comprovada contabilidade ativo fixo desejavel parte conhecimento jira extremamente desejavel
Cientista de Dados Sênior;Cientista De Dados;;Não;Johnston PLC;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;profissional com habilidades avancadas analise dados machine learning programacao sera responsavel por coletar processar executar analises grandes conjuntos dados identificar padroes tendencias construir modelos preditivos precisos para informar tomada decisoes empresa responsavel por garantir que dados sejam armazenados processados forma segura eficiente usando tecnologias cloud gcp aws desejavel que profissional tenha participado projetos voltados para area varejo certificacoes ingles frances;responsavel por projetar implementar estrategias precificacao junto com area negocio que otimizem tomada decisao maximizem receita liquida empresa diminua sobre estocagem dos produtos responsavel por montar estrategia junto area negocio para incrementar complementos vendas baseados nas compras cada loja omnicanalidade desenvolvimento modelos estatisticos utilizando suas habilidades python voce ira construir modelos estatisticos algoritmos machine learning analise dados voce ira extrair transformar analisar grandes conjuntos dados relacionados transacoes compra troca devolucao historico pagamentos outras variaveis relevantes monitoramento otimizacao voce ira monitorar regularmente desempenho das vendas omnicanalidade identificando oportunidades melhoria ajustando estrategias conforme necessario para avaliar risco ruptura estoque parado prever comportamento dos clientes ser inconformado buscar sempre inovacao explorando lake dados fim identificar variaveis que possam contribuir para revisao politicas com ganhos adicionais formacao complementacao perfil formacao ciencia computacao estatistica matematica engenharia area relacionada experiencia programacao sas sql python para analise dados modelagem estatistica conhecimento solido sql para manipulacao consulta bancos dados familiaridade com tecnicas precificacao como arvores decisao entre outras capacidade interpretar comunicar resultados complexos analise dados forma clara concisa habilidades analiticas fortes atencao aos detalhes
